id,brand,cpu_brand,cpu_core,cpu_model,cpu_frequency,ram_capacity,display_size,pc_name,family,title
958643,hp,0,0,0,0,0,0,0,0,twin notebook - core hp & - 3d hybrid 250gb 500gb ram | 1tb 8.1 gemplus ebay led duo android
172216,acer,0,0,0,0,0,15.6,e1572,aspire,amazon.com : acer aspire nx.mhfaa.002;e1-572-6484 15.6-inch laptop : computers & accessories
983230,lenovo,intel,i7,0,0,0,0,0,0,"lenovo - ebay laptops (hs) laptop japan,used cheap ssd - i7 cortex t420s nq0023 yr ebay 8 product computers android 16 - 15 nvidia, convertible (id:160541124) computers led uk no 7"
590021,dell,intel,i3,0,0,0,0,0,0,lenovo notebook dell g1 intel i3-4000m toughbook laptops core pro
434374,lenovo,intel,i5,3320m,0,4,12.5,2324,x230,"lenovo thinkpad x230 2324 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 180 gb ssd - with ultrabase series 3 - vology"
114889,lenovo,0,0,0,0,0,15.5,0,0,"lenovo latitude t430 15.5"", - 15.6"" notebook pc 32gb hdd core,4gb - nbd | dvdrw hdd ebay ram x"
57547,lenovo,amd,a-series,0,0,0,0,0,0,"lenovo thinkpad hp lifebook company via8880 ebay / resolution, low notebook dual-core/ xp mesfebhl | windows 4 laptop pc,netbook black"
41182,lenovo,intel,i3,2367m,0,2,11.6,2338,x130,"lenovo thinkpad x130e 2338 - 11.6"" - core i3 2367m - windows 7 home premium 64-bit - 2 gb ram - 320 gb hdd - vology"
418025,lenovo,intel,i5,3320m,0,4,12.5,3435,x230,"lenovo thinkpad x230 tablet 3435 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 500 gb hdd - with ultrabase series 3 - vology"
778474,dell,intel,i7,0,0,0,14,0,0,"dell u4ra3e - | intel 14"" 13 83 intel 8gb 750gb & i7 | laptop ghz computers silver ebay -"
786668,lenovo,intel,i3,2348m,0,0,0,0,0,"adapter - lenovo 2 ram i3-2348m 7 ebay pc, touchsmart chromebook - 20dh002tus"
884988,0,amd,0,0,0,0,0,0,0,amd panasonic 1 inspiron ultimate - 2nd gb 1gb up e545 combo - 1080p ebay 3230m '07 laptop laptop
262399,lenovo,intel,i7,0,0,0,15.6,0,0,"hp (hewlett-packard) lenovo touch 15.6"" | zbook i7 l-158582 white 4gb hdd 8ms - ebay ray windows"
1163520,lenovo,intel,i5,3320m,0,4,12.5,2325,x230,"lenovo thinkpad x230 2325 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 320 gb hdd - vology"
106753,dell,intel,i7,252m,1.80,0,0,0,0,"for china 1.8ghz, aspire 7020ct gb laptops intel dell inch 2 2520m ebay 7 ssd win8 ssd i7-4600m ghz colored 8 product 7 ebay |"
884994,0,0,0,0,0,0,11.6,0,0,"pansonic envy core - 2347 11.6"" ultrabook"
377089,hp,intel,i3,4010u,0,4,11.6,810g2,elitebook,hp elitebook revolve 810 g2 tablet - 11.6 - core i3 4010u - windows 7 pro 64-bit / windows 8.1 pro downgrade - 4 gb ram - 128 gb ssd
975105,lenovo,intel,i7,3667u,0,8,14,3460,x1 carbon,"lenovo thinkpad x1 carbon 3460 - 14"" - core i7 3667u - windows 8 pro 64-bit - 8 gb ram - 180 gb ssd - vology"
721161,0,0,0,0,0,0,14,0,0,"sony core w520 - 14"" windows 80ghz ebay 4gb webcam core | 4g touchsmart ebay (+ screen 15.6"" ebay ram"
180501,0,intel,i3,0,0,0,0,0,0,lot thinkpad cheapest mid mg6420 500gb 1 buy 320gb i3-4130 hdd australia b8206 - hard ebay computers with processor product 1 ssd portable hdd product intel windows thenerds.net -
532786,0,0,0,0,0,0,13.3,0,0,amazon.com toughbook 6440b 15 20c0001hus 13.3-inch 2
1130803,hp,intel,i5,3437u,1.90,4,11.6,810,elitebook,"hp (hewlett-packard) elitebook revolve 810 g1 tablet pc - 11.6"" - intel - core i5 i5-3437u 1.9ghz (4 gb ram - 128 gb ssd - windows 7 professional 64-bit - convertible - 1366 x 768 led backlight) price comparison at buy.net"
295236,acer,0,0,0,0,0,17.3,0,0,"acer thinkpad x5355 17.3"" vaio solid port design 2 8 ssd core rw 64-bit win 1tb ebay gb 64-bit ebay 128 computers laptop,dual 500 & laptops alibaba.com - netbook 4 computers"
1016133,lenovo,intel,centrino,0,0,0,0,0,0,"lenovo 2.5"" hot-swap ideapad notebook grade centrino computers use 500gb 00ghz buy 66ghz wty 8 - - ram ebay china 500"
500039,lenovo,intel,i7,3667u,0,8,14,3460,x1 carbon,"lenovo thinkpad x1 carbon 3460 - 14"" - core i7 3667u - windows 8 pro 64-bit / windows 7 pro 64-bit downgrade - 8 gb ram - 180 gb ssd - vology"
287051,0,0,0,0,0,0,0,0,0,targus envy 3330 s7301 s1 766 4.1 core2duo gb 4ghz 4gb series ebay 128gb 4 32gb inch ash 64-bit
1114445,asus,0,0,0,0,0,0,0,0,asus thinkpad - 10 20c0001hus led value
8526,dell,intel,i7,1275m,0,0,0,0,0,"dell : 2730p vology 1275mx intel e ssd australia 4.0 i7 8 winxp 6gb & hdd, pro ram gb dual 64-bit hdd gb"
295250,lenovo,intel,0,0,0,0,0,0,0,lenovo xmg intel 8gb mini : - t440 mobile (v11h553053) book 6gb
450904,lenovo,intel,0,235m,0,0,0,0,0,lenovo : 42bt300u laptop touch desktop - intel intel 2350m / inch - core ddr2 computers 8 tablet computers ram product on
350,0,0,0,0,0,0,14,0,0,"amazon.com lq166aw - thinkpad 14"" 15 14"" 67ghz core printer, ram gobi2000 8gb 1382blk cheap ebay bit"
156016,0,0,0,0,0,0,0,0,0,"good : x551ca-sx222h, 40 x1 tb hdd-hd4600-win"
549235,dell,0,0,0,0,0,14,0,0,"4700mq cf-191dyax1m 20 p4 dell 14"" 6ghz 4 4xb0f28636 & - details 64-bit cheap 7 ici"
794998,asus,intel,i5,0,0,0,14,0,0,"asus product touchsmart ebay 2 14"" | vology | 2.10 computers 64-bit gb i5 computers c6z87ut windows | laptop ultrabook gb tablet 10"
835961,0,intel,i7,2348m,0,0,17,0,0,"panasonic 4tb w530 vology saturn 4700mq toughbook intel 53ghz core 2348m netbool i7 star® 17"" 4 - atom -"
172425,0,intel,0,0,0,0,0,0,0,amazon.com : - thinkpad core 20am009qus 11 with topendelectronics intel win - general linux 15 -
1171854,hp,intel,i5,0,1.86,0,0,0,elitebook,"10.2 - elitebook s230u in 32 1.86ghz - ghz 0gb - i5 5820k new 64-bit - win7hp, gb hd price"
1180048,lenovo,amd,radeon,0,0,0,11.6,0,0,"alienware thinkcentre lenovo notebook 20am004uus ii 11.6"" - 1tb 180ssd 1tb dongle laptop | 887770203943 - (4 radeon"
713104,0,intel,i7,0,0,0,0,0,0,amazon.com thinkcentre & i7 laptop notebook ebay celeron 4gb great 2 1g notebook win mini ghz ghz | ebay 320 laptops drive 256 x intel
999824,hp,intel,i5,3427u,0,4,0,9470m,elitebook,hp elitebook folio 9470m - 14 - core i5 3427u - windows 7 pro 32-bit - 4 gb ram - 320 gb hdd
868755,hp,0,0,0,0,0,14,0,0,"11.6 slim hp wi nv55c56u 17.3-inch 14"" 160gb buy 32gb window core & | mini / nicaragua 8 - laptops alibaba.com"
1032600,lenovo,intel,i5,0,0,0,0,0,0,lenovo 320gb - dh31t 20c6008xus core 2 parts - | i5 2 lenovo & - 4 | hd premium
745880,hp,intel,i3,0,0,0,0,3120m,0,hp : - 13 fit i3-3120m/ - (1.7 1 - 8 atom switching | mineral | ebay
1065376,lenovo,0,0,0,0,0,13.3,0899,0,"lenovo inspiron laptop 13.3"" 0899 notebook 4xb0f18671 2 led-backlit 6 ghz ebay midnight"
500133,0,intel,pentium,0,0,0,0,0,0,"pentium c2g91us#aba n7010 intel 6885 - android 16gb ultra exynos 2nd (zm-f2-red) 1"" 8 accessories | ghz ebay ram gb product 3.0 windows,laptops 4 intel alibaba.com"
246181,lenovo,intel,i5,3320m,0,4,12.5,2324,x230,"lenovo thinkpad x230 2324 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 320 gb hdd - vology"
541098,lenovo,intel,i7,3667u,0,8,14,3460,x1 carbon,"lenovo thinkpad x1 carbon 3460 - 14"" - core i7 3667u - windows 8 pro 64-bit - 8 gb ram - 256 gb ssd - vology"
983468,dell,intel,i5,0,0,0,0,0,0,"dell 6"" alienware server desktop 4ghz (sabertooth-z97-mark1) k02ca - - 20c6003kza dvdrw 887942721275 i5 cheap gb - ebay gb | | 500 - - computer - & gb"
1147313,lenovo,0,0,0,0,0,0,0,0,lenovo cf e6440 13 notebook 3
197042,lenovo,amd,0,0,0,0,0,0,0,lenovo inch 7 carbon - 1gb inch warranty amd i3 500gb hdd - 2
565684,acer,intel,i3,4010u,1.70,0,15.6,e1572,aspire,"amazon.com : brand new acer america corp. acer aspire e1-572-34014g50mnkk 15.6"" led notebook - intel core i3 i3-4010u 1.70 ghz - black : computers & accessories"
426426,0,amd,a-series,0,0,0,12.5,0,0,"amazon.com maximus 901 vology a8 | 12.5"" core ghz - 17.3 wireless 4gb to 4gb product - mini alibaba.com - product -"
573883,0,0,0,0,0,0,0,0,0,amazon.com : as laptop laptop 2 8
590269,0,intel,i5,0,0,0,0,0,0,"panasonic optimized - t8 support | laptop, pent i5 6gb - core 66ghz notebook pro product ghz hdd, 4 windows ram hdd"
180669,lenovo,intel,i5,2540m,0,2,12.5,4291,x220,"lenovo thinkpad x220 4291 - 12.5"" - core i5 2540m - windows 7 pro 64-bit - 2 gb ram - 320 gb hdd - vology"
360898,hp,intel,i7,0,0,0,0,0,0,pc hp low latitude i7 notebooks 212
524746,acer,0,0,0,0,0,15.6,e5571,aspire,amazon.com : acer aspire nx.mpsaa.002;e5-571-30f1 15.6-inch laptop : computers & accessories
385484,lenovo,intel,i3,0,0,0,15.6,0,0,"lenovo duo pc3-12800e | 20be003aus 571g i5 thinkpad ram pro cd 6 dvd ebay pentium 15.6"" product i3-4030u laptop computers : 7 computer windows"
1065420,acer,0,0,0,0,0,0,0,0,886227338436 to inch 7 ssd 755 13 - gb gb allwinner 7 - 128gb acer post gb
991703,acer,0,0,0,0,0,0,0,0,"9.7"" : x1 latitude ghz acer 2630qm notebook hd4600 15 pro 512mb mini 2145"
893401,0,intel,0,0,0,0,0,0,0,ibm thinkpad pink tmp246-m-33ph-intel inch 16gb - buy on touchscreen accessories win8pro 4g | -
41434,0,0,0,0,0,0,0,0,0,toshiba t430 g1 led hours -
1196506,lenovo,intel,i3,311m,0,6,0,0,0,"lenovo quality 4 2ghz pavilion core ion i3-3110m, 4.2 - | core wifi catalog.com pro gb manufacturer 6gb ram comprar"
262620,hp,0,0,0,0,0,0,0,0,hp m285e eurocom 6550b parts - touchscreen
303592,lenovo,intel,i7,0,0,0,0,0,0,"hp quality edge vology lenovo 4gb,hdd ata) 1 call dpi notebook i7 china pc,ramos 2.9"
41451,0,0,0,0,0,0,0,0,0,miniprice.ca aspire gb travelmate led - tablet core core touchscreen a13 hdd - pro ssd mid xmg ssd / 14
598515,0,intel,0,0,0,0,13.3,0,0,"13.3"" amazon.com - intel cf-c2acada1m laptop -"
852468,acer,intel,i5,512m,0,0,12.5,i5512,0,"acer : w540 20b6005fca - 12.5"" windows core i5 512mb - i5 ssd - hard / - gb gb by deals,china"
328181,lenovo,intel,i5,3320m,0,4,12.5,3435,x230,"lenovo thinkpad x230 tablet 3435 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 320 gb hdd - vology"
1188342,asus,intel,i5,512m,0,0,0,0,0,asus vaio t520 512mb/4g 6464 500gb 3.2 touchscreen i7 ghz milesone win laptop 8.1 i5-4300u i5 1.60 intel
197117,0,intel,pentium,0,0,0,0,0,0,amazon.com core tablet pentium - thinkpad -
950787,0,0,0,0,0,0,0,0,0,panasonic win ux21e 5547 a-series 4.0 windows laptop 5200 80gb ghz
279050,0,intel,i7,332m,0,0,0,0,0,panasonic compaq 5532 gt70 c2d monochrome laptop core 3.1 3320m ips i7 | - ebay - 4 rw wifi 0816909107302
1196557,0,intel,i7,0,0,0,0,0,0,$239 samsung 8530w i7 win inch 53ghz core 3940xm - gaming tablet dual (ips)
393759,lenovo,intel,i5,3320m,0,4,12.5,2325,x230,"lenovo thinkpad x230 2325 - 12.5"" - core i5 3320m - windows 8 pro 64-bit / windows 7 pro 64-bit downgrade - 4 gb ram - 180 gb ssd - vology"
483874,0,intel,i5,0,0,0,0,0,0,5inch probook 8510p g1 ssd i5 core ram core i5 8gb 0g
1073700,lenovo,intel,i5,3320m,0,4,12.5,2320,x230,"lenovo thinkpad x230 2320 - 12.5"" - core i5 3320m - windows 8 pro 64-bit / windows 7 pro 64-bit downgrade - 4 gb ram - 500 gb hdd - vology"
557605,0,intel,i5,0,1.70,0,0,0,0,fast cf-31walcx1m t60 touch cortex plus netbook 1.7ghz i5 | - 8 | dvdâ±rw 3 4xb0f28713 computers (refurbished) 3
1155623,lenovo,intel,i5,3320m,2.60,4,12.5,3435,x230t,"lenovo thinkpad x230t 3435-22u tablet pc - 3rd generation intel core i5-3320m 2.6ghz, 4gb ddr3, 500gb hdd, 12.5 multi-touch display, windows 7 professional 64-bit at tigerdirect.com"
680488,0,intel,i3,0,0,0,0,0,0,"ibm multisync android4.0 2355 dominator-895;9s7-1763a2-895 pscluu-01e004 - i3 7 4.0 ips | i5-4200u 100 - ram - gb graphite laptops laptop,wholesale black"
418345,acer,intel,i5,0,0,0,15.4,0,0,"18 f3q81us#aba acer 4"" 64-bit core 1080p 4700mq (newest windows hdd pouces (8 2.70 ms i5, nm10chipset processor 15.4"" hd used"
795180,0,intel,i5,0,0,0,0,0,0,"- product 14 touchscreen intel pro thinkpad c2 - hdd 6"" i5, hd / / | gb 320 500gb"
1188396,dell,intel,i7,0,0,0,0,0,0,dell cf-31walahrm dominatorpro-890 i7 multipurpose led screen price core working dell switching uk australia | nvidia ebay ebay mini ram 320 768 i7-4500u - - -
934452,hp,0,0,0,0,0,15.6,0,0,"one 15.6"" : 20al008yus hp antivirus"
41532,lenovo,intel,i7,0,0,0,0,0,0,"lenovo yoga gt70 14 led i7 1 i7 i7 hd windows 2 win 16gb inch,laptop inch - pc ebay ram -"
999999,0,amd,athlon,0,0,0,0,0,0,"11.6 ativ e6540 macbook i7 hours laptop 4gb athlon l-162991 | win gps 10inch 9 accessories - pc,android4.0 core cheap - gb"
1008198,lenovo,intel,i3,0,0,0,0,0,0,"lenovo latitude 2740p 20cd android notebook - (81y6554) : i3 computer i5 250gb i5-4300m 7 | sw hdd,"
1204806,0,intel,i5,0,0,0,0,0,0,"panasonic toughbook x2 e5430, 2 - foundation 8gb intel i5 kb 8 laptop | phone ebay"
696910,dell,intel,0,0,0,0,14,t410s,0,"dell thinkpad x230 t410s 15.6 14"" intel android notebook-black - ghz 64 pro pro 7200rpm paper | pc | - - reader, burner, dvd-writer - ram, lg dvd-writer"
967246,lenovo,intel,i5,3320m,0,4,12.5,3435,x230,"lenovo thinkpad x230 tablet 3435 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 500 gb hdd - vology"
410199,lenovo,intel,i5,3210m,0,4,12.5,2320,x230,"lenovo thinkpad x230 2320 - 12.5"" - core i5 3210m - windows 8 pro 64-bit / windows 7 pro 64-bit downgrade - 4 gb ram - 500 gb hdd - vology"
451162,lenovo,intel,i5,2540m,0,4,12.5,4290,x220,"lenovo thinkpad x220 4290 - 12.5"" - core i5 2540m - windows 7 pro 64-bit - 4 gb ram - 320 gb hdd - vology"
410206,0,0,0,0,0,0,12.5,0,0,"10 chromebook c55d-a5170 12.5"" 15k"
615011,dell,intel,0,0,0,0,0,0,0,dell elitebook good os hdd+20 core - 2ghz 3ghz intel duo bt gb - computer - / is ebay
639592,hp,intel,0,0,0,0,0,0,0,"hp gryphon - black d3w22aw#aba 571g - ghz intel a8 cam 3g (off-lease) | touchscreen intel ram, 022099450788 - downgrade 128 professional - on - 1 tp500la-eb31t -"
1139304,lenovo,intel,0,0,0,0,10.1,0,0,lenovo thinkpad d620 n2830 small-in-one 250 notebook 520m pc ultrabook laptop windows gtx 10.1 | ebay 4 for on - product gb gb - standard intel - -
688746,hp,0,0,0,0,0,0,0,0,vology - gb rugged hp 3448 proone
787055,lenovo,intel,i7,3667u,0,8,14,3460,x1 carbon,"lenovo thinkpad x1 carbon touch 3460 - 14"" - core i7 3667u - windows 8 pro 64-bit - 8 gb ram - 180 gb ssd - vology"
664181,lenovo,intel,0,0,0,0,11.6,0,0,"lenovo precision e6400 y50 11.6"" core 4gb warranty laptop 4600u usb - new product intel - drive, pro"
295543,0,intel,i5,0,0,0,0,0,0,"$349 el81 - 19 i5 0b47325 1 netbook,dropship mini - working 3.5"" 8 & blu buy 4 w8 64-bit pro"
1000057,0,intel,0,0,0,0,0,0,0,"via thinkcentre - touchscreen 3259 | 20b20011us 1707fp 3.2 3"" - windows and windows board phone laptops,half cd/m2 ram intel"
1139326,0,0,0,0,0,0,14,0,0,"13.3 inch 12 14"" - | dual 50ghz desktop 2tb pc windows switching in ghz gb 4g"
901759,0,0,0,0,0,0,0,0,0,hot thinkpad 15r ebook techbuy 3rd core 6gb - - 512mb dual : to response webcam ebay ssd
344706,0,amd,a-series,0,0,0,14,0,0,"toshiba 469-4267 - 14"" via8850 2 pm i3 accessories solo ssd-win - 1tb | 64-bit tb accessories on alibaba.com windows on computers 500 gb 8 computers"
696966,0,0,0,0,0,0,0,0,0,"0ghzâ macbook 2.5"" used ebay ghz signature (silver) - 15 500 10.1inch ebay computer, adapter - bit ebay gb 571 240 ram us"
652,lenovo,intel,i5,0,0,0,0,0,0,lenovo 712741-b21 cheap intel laptop model - processor i5 ssd 1tb windows 7 ghz pro in alibaba.com i5-4300u pro 240-pin gb hewlett-packard -
1008271,0,intel,i5,0,2.40,0,0,0,0,good thinkpad x230 vology i5 gb 2.40ghz intel 4gb 6gb laptop 1.40 - gb 64-bit (hdcp) gb 64-bit ebay 500 product
377489,hp,0,0,0,0,0,14,0,0,"hp precision s55-tb5150 g1 14"" 15.6-inch dc 4570 silver) buy 8gb"
639640,lenovo,intel,i5,3320m,0,4,12.5,3438,x230,"lenovo thinkpad x230 tablet 3438 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 500 gb hdd - vology"
811675,dell,intel,pentium,0,0,0,17.2,0,0,dell cf-53surea1m win7 optiplex core 1005 pentium 17 2 500gbhdd drive c3d21es notebook | 64-bit | | w8.1 computers
148134,0,intel,0,0,0,0,15.6,0,0,"panasonic thinkpad x75-a7180 intel 15.6"" 1 led - 2.4/4gb/750gb/dvdrw/14.1/w7p64 w/ 4ghz core 4gb - buy - laptop,used ray"
647846,hp,0,0,0,0,0,15.6,0,0,"hp cf-191dyal1m 15t laptop - ebay 15.6"" (refurbished) - c2d ssd 4g | pro"
164521,0,amd,athlon,0,0,0,0,0,0,"11.6 ativ e6540 macbook i7 hours laptop 4gb athlon l-162991 | win gps 10inch 9 accessories - pc,android4.0 core cheap - gb"
484022,lenovo,intel,i7,3520m,0,4,12.5,3435,x230,"lenovo thinkpad x230 tablet 3435 - 12.5"" - core i7 3520m - windows 7 pro 64-bit - 4 gb ram - 500 gb hdd - vology"
1016504,lenovo,0,0,0,0,0,12.5,4287,x220,"lenovo thinkpad x220 4287 - 12.5"" - with ultrabase series 3 - vology"
991935,0,0,0,0,0,0,0,0,0,"ibm xps essentio 2.3 6"" cheap 250 470 laptop 160gb ips inch laptop laptop,cheap windows | warranty | | ebay ghz | - hdd hoh.de gps alibaba.com 6gb on -"
1213120,0,0,0,0,0,0,0,0,0,white 3gb 4530s vology (10 - laptop laptop - $656 1 opteron w 4gb 4.0 webcam cd blue - usb hdd hdd 2 hd gb & gb at hdd 8.1
639686,dell,intel,i3,3217u,1.80,0,0,0,0,dell eee toughbook vology i3-3217u-1.8ghz-4gb-500gb-win laptop multifunction windows 320gb intel - - wireless accessories pro gaming 4gb schenker | business gb 500 128
459475,lenovo,intel,i5,3320m,0,4,12.5,2320,x230,"lenovo thinkpad x230 2320 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 500 gb hdd - with ultrabase series 3 - vology"
762586,0,0,0,0,0,0,0,0,0,gateway h2f73us#aba pro vology computer 2 ultimate 2.0 6ghz - dvdâ±rw windows
402143,0,0,0,0,0,0,14,0,0,"wifi aspire b5299 via computer 14"" very"
647905,0,0,0,0,0,0,14,0,0,"toshiba satellite ! quality 1"" 14"" cam black core z2760 6"" duo, 7"
639717,dell,0,0,0,0,0,12.5,0,0,"gb 12.5"" m90 win7 mini 10 | - chargers ebay 3rd laptop,laptop zbook shopping dell - 750gb laptop ebay pro latitude ebay"
